SOURCE|DATE_OF_ACTION|OPER_TYPE|ACTION|CURRENCY|SR_CITY|SR_CODE|SR_COUNTRY|SR_NAME|SR_TYPE|FCMI|RCAT|TKT_COUNT|REP_DATE|SSR_FARE|SSR_SEAT_AMOUNT|SSR_NTBL_AMOUNT|SSR_XBAG_AMOUNT|SSR_WBAG_AMOUNT|SSR_CATERING_AMOUNT|FARE|PAX_FARE|DISCOUNT|TRANSACTION_FEE|TAX|SURCHARGE|CE_AMOUNT|TF_AMOUNT|SERVICE_FEE|PENALTY|SMS_FARE|OPTION_FARE|CASH_PAYMENT|CC_PAYMENT|EX_PAYMENT|DP_PAYMENT|GC_PAYMENT|MCO_PAYMENT|INV_PAYMENT|GRO_PAYMENT|EDD_PAYMENT|IDL_PAYMENT|FF_PAYMENT|BOH_PAYMENT|ISW_PAYMENT|SFT_PAYMENT|CQ_PAYMENT|MS_PAYMENT|GGP_PAYMENT|EP_PAYMENT|TP_PAYMENT|COMMISSION|MU_AMOUNT|VAT_AMOUNT|OTHER_PAYMENT|GAIN_LOSS_AMOUNT|LOC_SSR_SEAT_AMOUNT|LOC_SSR_NTBL_AMOUNT|LOC_SSR_XBAG_AMOUNT|LOC_SSR_WBAG_AMOUNT|LOC_SSR_CATERING_AMOUNT|LOC_FARE|LOC_PAX_FARE|LOC_DISCOUNT|LOC_TRANSACTION_FEE|LOC_TAX|LOC_SURCHARGE|LOC_CE_AMOUNT|LOC_TF_AMOUNT|LOC_SERVICE_FEE|LOC_PENALTY|LOC_SMS_FARE|LOC_OPTION_FARE|LOC_COMMISSION|LOC_MU_AMOUNT|LOC_CASH_PAYMENT|LOC_CC_PAYMENT|LOC_EX_PAYMENT|LOC_DP_PAYMENT|LOC_GC_PAYMENT|LOC_MCO_PAYMENT|LOC_INV_PAYMENT|LOC_GRO_PAYMENT|LOC_EDD_PAYMENT|LOC_IDL_PAYMENT|LOC_FF_PAYMENT|LOC_BOH_PAYMENT|LOC_ISW_PAYMENT|LOC_SFT_PAYMENT|LOC_CQ_PAYMENT|LOC_MS_PAYMENT|LOC_GGP_PAYMENT|LOC_EP_PAYMENT|LOC_TP_PAYMENT|LOC_OTHER_PAYMENT|LOC_GAIN_LOSS_AMOUNT
PAX|30-06-2024|DOM|Refund|NGN|SKO|FAIB TRAVELS & TOURS|NG|FAIB TRAVELS AND TOURS LIMITED|AG|A|ACT|1|30-06-2024|0|0|0|0|0|0|40476|40476|0|0|12024|120000|0|0|0|-10119|0|0|0|0|0|0|0|0|-162381|0|0|0|0|0|0|0|0|0|0|0|0|-2428|0|0|0|0|0|0|0|0|0|40476|40476|0|0|12024|120000|0|0|0|-10119|0|0|-2428|0|0|0|0|0|0|0|-162381|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Reissue|NGN|LOS|GODLINK LOGISTICS|NG|GODLINK LOGISTICS|AG|A|ACT|1|30-06-2024|0|0|0|0|0|0|-106429|-106429|0|0|-10321|-60000|0|0|0|0|0|0|0|0|138750|0|0|0|38000|0|0|0|0|0|0|0|0|0|0|0|0|6386|0|0|0|0|0|0|0|0|0|-106429|-106429|0|0|-10321|-60000|0|0|0|0|0|0|6386|0|0|0|138750|0|0|0|38000|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Sales|NGN|LOS|LOSTKT|NG|LAGOS TICKETING|OF|A|ACT|5|30-06-2024|-59200|0|0|-59200|0|0|-129438|-70238|0|0|-14012|-60000|0|0|0|0|-160|0|0|0|0|203610|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-59200|0|0|-129438|-70238|0|0|-14012|-60000|0|0|0|0|-160|0|0|0|0|0|0|203610|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Sales|NGN|CBQ|CBQTKT|NG|CALABAR TICKETING|OF|A|ACT|19|30-06-2024|0|0|0|0|0|0|-591547|-591547|0|0|-121077|-900000|0|0|0|0|-960|0|0|0|0|1613584|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-591547|-591547|0|0|-121077|-900000|0|0|0|0|-960|0|0|0|0|0|0|1613584|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Exchange|NGN|LOS|AEROCC|NG|CALL CENTER|OF|A|ACT|1|30-06-2024|0|0|0|0|0|0|83333|83333|0|0|19667|120000|0|0|0|0|0|0|0|0|-223000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|83333|83333|0|0|19667|120000|0|0|0|0|0|0|0|0|0|0|-223000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Sales|NGN|LOS|FLY4CHEAPER |NG|FLY4CHEAPER LIMITED|AG|A|ACT|1|30-06-2024|0|0|0|0|0|0|-55952|-55952|0|0|-7798|-60000|0|0|0|0|0|0|0|0|0|0|0|0|123750|0|0|0|0|0|0|0|0|0|0|0|0|3357|0|0|0|0|0|0|0|0|0|-55952|-55952|0|0|-7798|-60000|0|0|0|0|0|0|3357|0|0|0|0|0|0|0|123750|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Reissue|NGN|ABV|ABVTKT|NG|ABUJA TICKETING|OF|A|ACT|12|30-06-2024|0|0|0|0|0|0|-733047|-733047|0|-3150|-117107|-956000|0|0|0|-20000|0|0|0|0|1769304|60000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4214|0|0|0|0|0|0|0|0|0|-733047|-733047|0|-3150|-117107|-956000|0|0|0|-20000|0|0|4214|0|0|0|1769304|60000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Refund|NGN|SKO|SKOTKT|NG|SOKOTO TICKETING|OF|A|ACT|3|30-06-2024|6500|0|0|0|0|0|6500|0|0|0|0|0|0|0|0|0|0|0|0|-3500|-3000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6500|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-3500|-3000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Reissue|NGN|KAN|KANTKT|NG|KANO TICKETING|OF|A|ACT|1|30-06-2024|0|0|0|0|0|0|-121667|-121667|0|0|-16583|-60000|0|0|0|0|0|0|0|0|164646|33604|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-121667|-121667|0|0|-16583|-60000|0|0|0|0|0|0|0|0|0|0|164646|33604|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|30-06-2024|DOM|Sales|NGN|SKO|ASAP WORLD TRAVELS|NG|ASAP WORLD TRAVELS & TOURS LIMITED|AG|A|ACT|6|30-06-2024|0|0|0|0|0|0|-175001|-175001|0|0|-43749|-420000|0|0|0|0|-160|0|0|0|0|0|0|0|638910|0|0|0|0|0|0|0|0|0|0|0|0|10499|0|0|0|0|0|0|0|0|0|-175001|-175001|0|0|-43749|-420000|0|0|0|0|-160|0|10499|0|0|0|0|0|0|0|638910|0|0|0|0|0|0|0|0|0|0|0|0|0|0
